原始动作,统一动作,动作编码,卡片类型,角色,角色编码,来源sheet,出现次数
AI外呼,AI外呼,ACT001,常规,客服中心,ROLE003,乘用车-常规贷后动作,14
AI外呼,AI外呼,ACT001,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,5
AI外呼,AI外呼,ACT001,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,4
AI外呼,AI外呼,ACT001,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-新能源） ,2
AI外呼,AI外呼,ACT001,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-燃油） ,4
专项处置,专项处置,ACT002,常规,资管,ROLE005,乘用车-常规贷后动作,1
人工发催收施压+律师函提醒短信,人工发催收施压+律师函提醒短信,ACT003,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
人工发催收施压短信（申请上门、诉讼）,人工发催收施压短信（申请上门、诉讼）,ACT004,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
人工发客户卡号短信,人工发客户卡号短信,ACT005,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
人工发征信提醒及征信影响短信+提醒保证人短信,人工发征信提醒及征信影响短信+提醒保证人短信,ACT006,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
发送征信提醒及征信影响短信+提醒保证人短信,人工发征信提醒及征信影响短信+提醒保证人短信,ACT006,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,1
人工发送催收短信,人工发送催收短信,ACT007,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
人工发送催收短信,人工发送催收短信,ACT007,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-燃油） ,1
人工发送回访短信,人工发送回访短信,ACT008,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
人工回访短信,人工发送回访短信,ACT008,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,1
人工回访短信,人工发送回访短信,ACT008,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-燃油） ,1
人工发送还款提醒短信,人工发送还款提醒短信,ACT009,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
人工发锁车短信,人工发锁车短信,ACT010,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
人工外呼（催收）,人工外呼（催收）,ACT011,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
人工外呼（催收）,人工外呼（催收）,ACT011,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,1
人工外呼（催收）,人工外呼（催收）,ACT011,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-新能源） ,1
人工外呼（催收）,人工外呼（催收）,ACT011,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-燃油） ,1
人工外呼（回访）,人工外呼（回访）,ACT012,常规,客服中心,ROLE003,乘用车-常规贷后动作,15
人工外呼（回访）,人工外呼（回访）,ACT012,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,3
人工外呼（回访）,人工外呼（回访）,ACT012,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,3
人工外呼（回访）,人工外呼（回访）,ACT012,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-新能源） ,2
人工外呼（回访）,人工外呼（回访）,ACT012,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-燃油） ,3
协调经销商督促客户保存回访号码,协调经销商督促客户保存回访号码,ACT013,常规,区域,ROLE001,乘用车-常规贷后动作,3
反馈区域,反馈区域,ACT014,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
反馈区域,反馈区域,ACT014,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,1
反馈区域,反馈区域,ACT014,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-燃油） ,1
发律师函,发送律师函,ACT015,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
发送律师函,发送律师函,ACT015,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,1
发送律师函,发送律师函,ACT015,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-新能源） ,1
发送律师函,发送律师函,ACT015,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-燃油） ,1
发送邮件至法律合规部，确认是否解锁,发送邮件至法律合规部，确认是否解锁,ACT016,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
委外作业督导,委外作业督导,ACT017,常规,区域,ROLE001,商用车-常规贷后动作（中重卡-担保）,1
委外作业督导,委外作业督导,ACT017,常规,区域,ROLE001,商用车-常规贷后动作（中重卡-非担保） ,1
委外作业督导,委外作业督导,ACT017,常规,区域,ROLE001,商用车-常规贷后动作（轻卡-新能源） ,1
委外作业督导,委外作业督导,ACT017,常规,区域,ROLE001,商用车-常规贷后动作（轻卡-燃油） ,1
委外派单及工作跟踪,委外派单及工作跟踪,ACT018,常规,委外催收管理,ROLE002,乘用车-常规贷后动作,2
客户梳理并制定下一步催收动作,客户梳理并制定下一步催收动作,ACT019,常规,委外催收管理,ROLE002,乘用车-常规贷后动作,2
提交委外电催申请,提交委外电催申请,ACT020,常规,客服中心,ROLE003,乘用车-常规贷后动作,2
收车,收车,ACT021,常规,资管,ROLE005,乘用车-常规贷后动作,1
梳理发函清单并发送至区域,梳理发函清单并发送至区域,ACT022,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
梳理并发送委外清单至区域,梳理并发送委外清单至区域,ACT023,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
梳理并发送委外清单至区域,梳理并发送委外清单至区域,ACT023,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,1
梳理并发送委外清单至区域,梳理并发送委外清单至区域,ACT023,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-新能源） ,1
梳理并发送委外清单至区域,梳理并发送委外清单至区域,ACT023,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-燃油） ,1
梳理并发送诉讼清单至区域,梳理并发送诉讼清单至区域,ACT024,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
梳理并发送诉讼清单至区域,梳理并发送诉讼清单至区域,ACT024,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,1
梳理并发送诉讼清单至区域,梳理并发送诉讼清单至区域,ACT024,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-新能源） ,1
梳理并发送诉讼清单至区域,梳理并发送诉讼清单至区域,ACT024,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-燃油） ,1
梳理未发函清单并发送至区域,梳理未发函清单并发送至区域,ACT025,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
梳理未锁车清单并发送至区域,梳理未锁车清单并发送至区域,ACT026,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
梳理锁车清单并发送至区域,梳理锁车清单并发送至区域,ACT027,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
梳理锁车清单并发送至区域,梳理锁车清单并发送至区域,ACT027,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,1
梳理锁车清单并发送至区域,梳理锁车清单并发送至区域,ACT027,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-新能源） ,1
督促履行渠道担保责任,督促履行渠道担保责任,ACT028,常规,资管,ROLE005,商用车-常规贷后动作（轻卡-新能源） ,1
督促履行经销商担保责任,督促履行经销商担保责任,ACT029,常规,区域,ROLE001,乘用车-常规贷后动作,4
履行经销商担保责任,督促履行经销商担保责任,ACT029,常规,区域,ROLE001,商用车-常规贷后动作（中重卡-担保）,2
履行经销商担保责任,督促履行经销商担保责任,ACT029,常规,区域,ROLE001,商用车-常规贷后动作（轻卡-燃油） ,1
秉正调解,秉正调解,ACT030,常规,诉讼管理,ROLE004,乘用车-常规贷后动作,1
移交非担保模式,移交非担保模式,ACT031,常规,区域,ROLE001,商用车-常规贷后动作（中重卡-担保）,1
落实经销商垫款,落实经销商垫款,ACT032,常规,区域,ROLE001,商用车-常规贷后动作（中重卡-担保）,1
解锁,解锁,ACT033,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
解锁,解锁,ACT033,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
解锁,解锁,ACT033,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,1
解锁,解锁,ACT033,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-新能源） ,1
诉讼执行,诉讼执行,ACT034,常规,诉讼管理,ROLE004,乘用车-常规贷后动作,1
质检合作机构催收落实情况,质检合作机构催收落实情况,ACT035,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-担保）,1
质检合作机构催收落实情况,质检合作机构催收落实情况,ACT035,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,1
质检合作机构催收落实情况,质检合作机构催收落实情况,ACT035,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-新能源） ,1
质检合作机构催收落实情况,质检合作机构催收落实情况,ACT035,常规,客服中心,ROLE003,商用车-常规贷后动作（轻卡-燃油） ,1
车辆处置,车辆处置,ACT036,常规,车辆管理,ROLE006,乘用车-常规贷后动作,1
车辆处置,车辆处置,ACT036,常规,,,商用车-常规贷后动作（中重卡-担保）,1
车辆处置,车辆处置,ACT036,常规,,,商用车-常规贷后动作（中重卡-非担保） ,1
车辆处置,车辆处置,ACT036,常规,,,商用车-常规贷后动作（轻卡-新能源） ,1
车辆处置,车辆处置,ACT036,常规,,,商用车-常规贷后动作（轻卡-燃油） ,1
通报M2以上客户催收措施情况,通报M2以上客户催收措施情况,ACT037,常规,客服中心,ROLE003,商用车-常规贷后动作（中重卡-非担保） ,1
锁车,锁车,ACT038,常规,客服中心,ROLE003,乘用车-常规贷后动作,3
人工外呼,人工外呼（异常处置）,ACT100,异常,客服中心,ROLE003,乘用车-异常处置动作,3
协商谈判,协商谈判,ACT101,异常,资管,ROLE005,乘用车-异常处置动作,1
反馈资管,反馈资管,ACT102,异常,客服中心/委外催收管理/诉讼管理,ROLE002；ROLE003；ROLE004,乘用车-异常处置动作,1
发送工单给区域（制定下步措施）,发送工单给区域（制定下步措施）,ACT103,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-新能源）  ,2
发送工单给区域（协调经销商告知客户回访计划）,发送工单给区域（协调经销商告知客户回访计划）,ACT104,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-担保） ,1
发送工单给区域（协调经销商告知客户回访计划）,发送工单给区域（协调经销商告知客户回访计划）,ACT104,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-非担保）  ,1
发送工单给区域（协调经销商告知客户回访计划）,发送工单给区域（协调经销商告知客户回访计划）,ACT104,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-新能源）  ,1
发送工单给区域（协调经销商告知客户回访计划),发送工单给区域（协调经销商告知客户回访计划）,ACT104,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-燃油）  ,1
发送工单给区域（协调经销商，督促客户保存回访号码）,发送工单给区域（协调经销商督促客户保存回访号码）,ACT105,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-担保） ,2
发送工单给区域（协调经销商，督促客户保存回访号码）,发送工单给区域（协调经销商督促客户保存回访号码）,ACT105,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-非担保）  ,2
发送工单给区域（协调经销商，督促客户保存回访号码）,发送工单给区域（协调经销商督促客户保存回访号码）,ACT105,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-新能源）  ,1
发送工单给区域（协调经销商督促客户保存回访号码),发送工单给区域（协调经销商督促客户保存回访号码）,ACT105,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-燃油）  ,2
发送工单给区域，反馈异常情况,发送工单给区域（反馈异常客户与异常台帐）,ACT106,异常,客服中心,ROLE003,乘用车-异常处置动作,3
失联修复,发送工单给区域（失联修复）,ACT107,异常,客服中心,ROLE003,乘用车-异常处置动作,2
发送工单给区域（失联修复）,发送工单给区域（失联修复）,ACT107,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-担保） ,3
发送工单给区域（失联修复）,发送工单给区域（失联修复）,ACT107,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-非担保）  ,3
发送工单给区域（失联修复）,发送工单给区域（失联修复）,ACT107,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-新能源）  ,1
发送工单给区域（失联修复),发送工单给区域（失联修复）,ACT107,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-燃油）  ,3
发送工单（委外上门）,发送工单（委外上门）,ACT108,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-非担保）  ,3
发送工单（委外上门）,发送工单（委外上门）,ACT108,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-新能源）  ,1
发送工单给区域（委外电催）,发送工单给区域（委外电催）,ACT109,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-新能源）  ,1
发送工单给区域（委外电催),发送工单给区域（委外电催）,ACT109,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-燃油）  ,2
发送工单给区域（委外收车）,发送工单给区域（收车）,ACT110,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-非担保）  ,1
发送工单给区域（收车）,发送工单给区域（收车）,ACT110,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-非担保）  ,2
发送工单给区域（委外收车）,发送工单给区域（收车）,ACT110,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-新能源）  ,7
发送工单给区域（委外收车),发送工单给区域（收车）,ACT110,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-燃油）  ,1
发送工单给区域（收车),发送工单给区域（收车）,ACT110,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-燃油）  ,1
发送工单给区域（核实情况，制定措施）,发送工单给区域（核实情况，制定措施）,ACT111,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-非担保）  ,4
发送工单给区域（核实情况，记录台账）,发送工单给区域（核实情况，记录台帐）,ACT112,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-担保） ,4
发送工单给区域（核实情况，记录台帐，制定措施）,发送工单给区域（核实情况，记录台帐，制定措施）,ACT113,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-非担保）  ,5
发送工单给区域（核实情况，记录台账，制定措施，督促还款）,发送工单给区域（核实情况，记录台帐，制定措施，督促还款）,ACT114,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-新能源）  ,4
发送工单给区域（核实情况，记录台帐，反馈区域）,发送工单给区域（核实情况，记录台帐，反馈区域）,ACT115,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-非担保）  ,2
发送工单给区域（核实情况，记录台帐，反馈区域),发送工单给区域（核实情况，记录台帐，反馈区域）,ACT115,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-燃油）  ,2
发送工单给区域（核实情况，记录台帐，反馈区域，制定催收计划),发送工单给区域（核实情况，记录台帐，反馈区域，制定催收计划）,ACT116,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-燃油）  ,1
发送工单给区域（督促经销商履行担保责任）,发送工单给区域（督促经销商履行担保责任）,ACT117,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-担保） ,12
发送工单给区域（联合经销商制定风险化解方案）,发送工单给区域（联合经销商制定风险化解方案）,ACT118,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-担保） ,2
发送工单给区域（联系客户，处理投诉）,发送工单给区域（联系客户，处理投诉）,ACT119,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-担保） ,5
发送工单给区域（联系客户，处理投诉）,发送工单给区域（联系客户，处理投诉）,ACT119,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-非担保）  ,5
发送工单给区域（联系客户，处理投诉）,发送工单给区域（联系客户，处理投诉）,ACT119,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-新能源）  ,4
发送工单给区域（联系客户，处理投诉),发送工单给区域（联系客户，处理投诉）,ACT119,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-燃油）  ,5
发送工单（诉讼）,发送工单（诉讼）,ACT120,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-非担保）  ,1
发送工单（诉讼）,发送工单（诉讼）,ACT120,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-新能源）  ,4
发送工单（诉讼）,发送工单（诉讼）,ACT120,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-燃油）  ,1
委外派单与跟踪,委外派单及工作跟踪,ACT121,异常,委外催收管理,ROLE002,乘用车-异常处置动作,2
收集客户办理贷后业务（延期一、延期二）办理需求，发送工单给区域,收集客户办理贷后业务（延期一、延期二）办理需求，发送工单给区域,ACT122,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-担保） ,1
收集客户办理贷后业务（延期一、延期二）需求，发送工单给区域,收集客户办理贷后业务（延期一、延期二）需求，发送工单给区域,ACT123,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-非担保）  ,1
收集客户办理贷后业务（延期一）需求，发送办理工单给区域,收集客户办理贷后业务（延期一）需求，发送办理工单给区域,ACT124,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-担保） ,1
收集客户办理贷后业务（延期一）需求，发送工单给区域,收集客户办理贷后业务（延期一）需求，发送工单给区域,ACT125,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-非担保）  ,1
收集客户办理贷后业务（延期还款、贷款重组、利息减免）需求，发送工单给区域,收集客户办理贷后业务（延期还款、贷款重组、利息减免）需求，发送工单给区域,ACT126,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-新能源）  ,2
收集客户办理贷后业务（延期还款、非标延期、利息减免）需求，发送工单给区域,收集客户办理贷后业务（延期还款、非标延期、利息减免）需求，发送工单给区域,ACT127,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-燃油）  ,3
收集客户办理贷后业务（贷款重组、利息减免、消保基金）需求，发送工单给区域,收集客户办理贷后业务（贷款重组、利息减免、消保基金）需求，发送工单给区域,ACT128,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-新能源）  ,1
收集客户办理贷后业务（非标延期、利息减免）需求，发送工单给区域,收集客户办理贷后业务（非标延期、利息减免）需求，发送工单给区域,ACT129,异常,客服中心,ROLE003,商用车-异常处置动作（轻卡-燃油）  ,1
收集客户办理贷后业务(非标延期（重组）)需求，发送工单给区域,收集客户办理贷后业务（非标延期（重组））需求，发送工单给区域,ACT130,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-担保） ,1
收集客户办理贷后业务（非标延期（重组））需求，发送工单给区域,收集客户办理贷后业务（非标延期（重组））需求，发送工单给区域,ACT130,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-非担保）  ,1
收集客户办理贷后业务(非标延期)需求，发送工单给区域,收集客户办理贷后业务（非标延期）需求，发送工单给区域,ACT131,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-非担保）  ,1
收集客户贷后业务（延期二）办理需求，发送工单给区域,收集客户贷后业务（延期二）办理需求，发送工单给区域,ACT132,异常,客服中心,ROLE003,商用车-异常处置动作（中重卡-担保） ,1
核实情况,核实情况,ACT133,异常,客服中心,ROLE003,乘用车-异常处置动作,1
申请委外,申请委外,ACT134,异常,客服中心,ROLE003,乘用车-异常处置动作,1
登记台帐,登记台帐,ACT135,异常,客服中心,ROLE003,乘用车-异常处置动作,1
诉讼执行,诉讼执行,ACT136,异常,诉讼管理,ROLE004,乘用车-异常处置动作,3
集中性风险处理,集中性风险处理,ACT137,异常,资管,ROLE005,乘用车-异常处置动作,2
贷后业务办理,内催阶段贷后业务办理,ACT138,异常,客服中心,ROLE003,乘用车-异常处置动作,1
贷后业务办理,发送工单给委外催收管理（委外阶段贷后业务办理）,ACT139,异常,客服中心,ROLE002,乘用车-异常处置动作,1
贷后业务办理）,发送工单给诉讼管理（诉讼阶段贷后业务办理）,ACT140,异常,客服中心,ROLE004,乘用车-异常处置动作,1
