line,base,situation,ab_actions,category,regular_actions,reason
乘用车,客户阶段 = 新增,疑似失联 / 有风险的第三方替名贷款 / 欺诈客户 / 客户私自处置车辆 / 其他原因拒不还款,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
核实情况（ACT125）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）",外呼（ACT001/ACT011/ACT012/ACT013）,"协调经销商督促客户保存回访号码（ACT013）-区域（ROLE001）
AI外呼（ACT001）-客服中心（ROLE003）
人工外呼（回访）（ACT012）-客服中心（ROLE003）
人工外呼（催收）（ACT011）-客服中心（ROLE003）",触达/外呼相似
乘用车,客户阶段 = 存量 OR 已逾期,疑似失联处理,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
诉讼执行（ACT128）-诉讼管理（ROLE004）",外呼（ACT001/ACT011/ACT012/ACT013）,"AI外呼（ACT001）-客服中心（ROLE003）
人工外呼（回访）（ACT012）-客服中心（ROLE003）
人工外呼（催收）（ACT011）-客服中心（ROLE003）",触达/外呼相似
乘用车,客户阶段 = 存量 OR 已逾期,疑似失联处理,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
诉讼执行（ACT128）-诉讼管理（ROLE004）",人工发催收施压短信（申请上门、诉讼）（ACT004）,人工发催收施压短信（申请上门、诉讼）（ACT004）-客服中心（ROLE003）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期,疑似失联处理,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
诉讼执行（ACT128）-诉讼管理（ROLE004）",诉讼（ACT024/ACT033）,诉讼执行（ACT033）-诉讼管理（ROLE004）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期,疑似失联处理,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
诉讼执行（ACT128）-诉讼管理（ROLE004）",秉正调解（ACT029）,秉正调解（ACT029）-诉讼管理（ROLE004）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期,有风险的第三方替名贷款 / 欺诈客户,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
集中性风险处理（ACT129）-资管（ROLE005）
委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
诉讼执行（ACT128）-诉讼管理（ROLE004）",外呼（ACT001/ACT011/ACT012/ACT013）,"AI外呼（ACT001）-客服中心（ROLE003）
人工外呼（回访）（ACT012）-客服中心（ROLE003）
人工外呼（催收）（ACT011）-客服中心（ROLE003）",触达/外呼相似
乘用车,客户阶段 = 存量 OR 已逾期,有风险的第三方替名贷款 / 欺诈客户,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
集中性风险处理（ACT129）-资管（ROLE005）
委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
诉讼执行（ACT128）-诉讼管理（ROLE004）",人工发催收施压短信（申请上门、诉讼）（ACT004）,人工发催收施压短信（申请上门、诉讼）（ACT004）-客服中心（ROLE003）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期,有风险的第三方替名贷款 / 欺诈客户,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
集中性风险处理（ACT129）-资管（ROLE005）
委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
诉讼执行（ACT128）-诉讼管理（ROLE004）",委外（ACT023/ACT017/ACT018/ACT020/ACT034）,"提交委外电催申请（ACT020）-客服中心（ROLE003）
委外派单及工作跟踪（ACT018）-委外催收管理（ROLE002）",委外相似
乘用车,客户阶段 = 存量 OR 已逾期,有风险的第三方替名贷款 / 欺诈客户,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
集中性风险处理（ACT129）-资管（ROLE005）
委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
诉讼执行（ACT128）-诉讼管理（ROLE004）",客户梳理并制定下一步催收动作（ACT019）,客户梳理并制定下一步催收动作（ACT019）-委外催收管理（ROLE002）,委外相似
乘用车,客户阶段 = 存量 OR 已逾期,有风险的第三方替名贷款 / 欺诈客户,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
集中性风险处理（ACT129）-资管（ROLE005）
委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
诉讼执行（ACT128）-诉讼管理（ROLE004）",诉讼（ACT024/ACT033）,诉讼执行（ACT033）-诉讼管理（ROLE004）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期,有风险的第三方替名贷款 / 欺诈客户,"人工外呼（异常处置）（ACT100）-客服中心（ROLE003）
发送工单给区域（失联修复）（ACT107）-客服中心（ROLE003）
发送工单给区域（反馈异常客户与异常台帐）（ACT106）-客服中心（ROLE003）
集中性风险处理（ACT129）-资管（ROLE005）
委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
诉讼执行（ACT128）-诉讼管理（ROLE004）",秉正调解（ACT029）,秉正调解（ACT029）-诉讼管理（ROLE004）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期 AND 委外阶段,客户暂时还款困难希望变更还款计划,发送工单给委外催收管理（委外阶段贷后业务办理）（ACT131）-客服中心（ROLE002）,委外（ACT023/ACT017/ACT018/ACT020/ACT034）,"提交委外电催申请（ACT020）-客服中心（ROLE003）
委外派单及工作跟踪（ACT018）-委外催收管理（ROLE002）",委外相似
乘用车,客户阶段 = 存量 OR 已逾期 AND 委外阶段,客户暂时还款困难希望变更还款计划,发送工单给委外催收管理（委外阶段贷后业务办理）（ACT131）-客服中心（ROLE002）,客户梳理并制定下一步催收动作（ACT019）,客户梳理并制定下一步催收动作（ACT019）-委外催收管理（ROLE002）,委外相似
乘用车,客户阶段 = 存量 OR 已逾期 AND 诉讼阶段,客户暂时还款困难希望变更还款计划,发送工单给诉讼管理（诉讼阶段贷后业务办理）（ACT132）-客服中心（ROLE004）,人工发催收施压短信（申请上门、诉讼）（ACT004）,人工发催收施压短信（申请上门、诉讼）（ACT004）-客服中心（ROLE003）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期 AND 诉讼阶段,客户暂时还款困难希望变更还款计划,发送工单给诉讼管理（诉讼阶段贷后业务办理）（ACT132）-客服中心（ROLE004）,诉讼（ACT024/ACT033）,诉讼执行（ACT033）-诉讼管理（ROLE004）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期 AND 诉讼阶段,客户暂时还款困难希望变更还款计划,发送工单给诉讼管理（诉讼阶段贷后业务办理）（ACT132）-客服中心（ROLE004）,秉正调解（ACT029）,秉正调解（ACT029）-诉讼管理（ROLE004）,诉讼相似
乘用车,（客户阶段 = 存量 OR 已逾期）AND 未进入委外阶段,客户私自处置车辆 AND 无能力还款,申请委外（ACT126）-客服中心（ROLE003）,委外（ACT023/ACT017/ACT018/ACT020/ACT034）,"提交委外电催申请（ACT020）-客服中心（ROLE003）
委外派单及工作跟踪（ACT018）-委外催收管理（ROLE002）",委外相似
乘用车,（客户阶段 = 存量 OR 已逾期）AND 未进入委外阶段,客户私自处置车辆 AND 无能力还款,申请委外（ACT126）-客服中心（ROLE003）,客户梳理并制定下一步催收动作（ACT019）,客户梳理并制定下一步催收动作（ACT019）-委外催收管理（ROLE002）,委外相似
乘用车,客户阶段 = 存量 OR 已逾期,客户私自处置车辆 AND 无能力还款,"委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
集中性风险处理（ACT129）-资管（ROLE005）
诉讼执行（ACT128）-诉讼管理（ROLE004）",人工发催收施压短信（申请上门、诉讼）（ACT004）,人工发催收施压短信（申请上门、诉讼）（ACT004）-客服中心（ROLE003）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期,客户私自处置车辆 AND 无能力还款,"委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
集中性风险处理（ACT129）-资管（ROLE005）
诉讼执行（ACT128）-诉讼管理（ROLE004）",委外（ACT023/ACT017/ACT018/ACT020/ACT034）,"提交委外电催申请（ACT020）-客服中心（ROLE003）
委外派单及工作跟踪（ACT018）-委外催收管理（ROLE002）",委外相似
乘用车,客户阶段 = 存量 OR 已逾期,客户私自处置车辆 AND 无能力还款,"委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
集中性风险处理（ACT129）-资管（ROLE005）
诉讼执行（ACT128）-诉讼管理（ROLE004）",客户梳理并制定下一步催收动作（ACT019）,客户梳理并制定下一步催收动作（ACT019）-委外催收管理（ROLE002）,委外相似
乘用车,客户阶段 = 存量 OR 已逾期,客户私自处置车辆 AND 无能力还款,"委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
集中性风险处理（ACT129）-资管（ROLE005）
诉讼执行（ACT128）-诉讼管理（ROLE004）",诉讼（ACT024/ACT033）,诉讼执行（ACT033）-诉讼管理（ROLE004）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期,客户私自处置车辆 AND 无能力还款,"委外派单及工作跟踪（ACT116）-委外催收管理（ROLE002）
集中性风险处理（ACT129）-资管（ROLE005）
诉讼执行（ACT128）-诉讼管理（ROLE004）",秉正调解（ACT029）,秉正调解（ACT029）-诉讼管理（ROLE004）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期,客户放弃车辆,"反馈资管（ACT102）-客服中心/委外催收管理/诉讼管理（ROLE002；ROLE003；ROLE004）
协商谈判（ACT101）-资管（ROLE005）",人工发催收施压短信（申请上门、诉讼）（ACT004）,人工发催收施压短信（申请上门、诉讼）（ACT004）-客服中心（ROLE003）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期,客户放弃车辆,"反馈资管（ACT102）-客服中心/委外催收管理/诉讼管理（ROLE002；ROLE003；ROLE004）
协商谈判（ACT101）-资管（ROLE005）",委外（ACT023/ACT017/ACT018/ACT020/ACT034）,"提交委外电催申请（ACT020）-客服中心（ROLE003）
委外派单及工作跟踪（ACT018）-委外催收管理（ROLE002）",委外相似
乘用车,客户阶段 = 存量 OR 已逾期,客户放弃车辆,"反馈资管（ACT102）-客服中心/委外催收管理/诉讼管理（ROLE002；ROLE003；ROLE004）
协商谈判（ACT101）-资管（ROLE005）",客户梳理并制定下一步催收动作（ACT019）,客户梳理并制定下一步催收动作（ACT019）-委外催收管理（ROLE002）,委外相似
乘用车,客户阶段 = 存量 OR 已逾期,客户放弃车辆,"反馈资管（ACT102）-客服中心/委外催收管理/诉讼管理（ROLE002；ROLE003；ROLE004）
协商谈判（ACT101）-资管（ROLE005）",诉讼（ACT024/ACT033）,诉讼执行（ACT033）-诉讼管理（ROLE004）,诉讼相似
乘用车,客户阶段 = 存量 OR 已逾期,客户放弃车辆,"反馈资管（ACT102）-客服中心/委外催收管理/诉讼管理（ROLE002；ROLE003；ROLE004）
协商谈判（ACT101）-资管（ROLE005）",秉正调解（ACT029）,秉正调解（ACT029）-诉讼管理（ROLE004）,诉讼相似
中重卡-担保,客户阶段 =新增,疑似失联处理,发送工单给区域（协调经销商督促客户保存回访号码）（ACT105）-客服中心（ROLE003）,外呼（ACT001/ACT011/ACT012/ACT013）,"AI外呼（ACT001）-客服中心（ROLE003）
人工外呼（回访）（ACT012）-客服中心（ROLE003）",触达/外呼相似
中重卡-担保,客户阶段 =新增,质疑号码来源,发送工单给区域（协调经销商告知客户回访计划）（ACT104）-客服中心（ROLE003）,外呼（ACT001/ACT011/ACT012/ACT013）,"AI外呼（ACT001）-客服中心（ROLE003）
人工外呼（回访）（ACT012）-客服中心（ROLE003）",触达/外呼相似
中重卡-担保,客户阶段 =新增,替名贷款,"发送工单给区域（核实情况，记录台帐，反馈区域，制定催收计划）（ACT111）-客服中心（ROLE003）
发送工单给区域（督促经销商履行担保责任）（ACT112）-客服中心（ROLE003）",反馈区域（ACT014）,反馈区域（ACT014）-客服中心（ROLE003）,反馈/核实相似
中重卡-非担保,客户阶段 =新增,疑似失联处理,发送工单给区域（协调经销商督促客户保存回访号码）（ACT105）-客服中心（ROLE003）,外呼（ACT001/ACT011/ACT012/ACT013）,"AI外呼（ACT001）-客服中心（ROLE003）
人工外呼（回访）（ACT012）-客服中心（ROLE003）
人工外呼（催收）（ACT011）-客服中心（ROLE003）",触达/外呼相似
中重卡-非担保,客户阶段 =新增,质疑号码来源,发送工单给区域（协调经销商告知客户回访计划）（ACT104）-客服中心（ROLE003）,外呼（ACT001/ACT011/ACT012/ACT013）,"AI外呼（ACT001）-客服中心（ROLE003）
人工外呼（回访）（ACT012）-客服中心（ROLE003）
人工外呼（催收）（ACT011）-客服中心（ROLE003）",触达/外呼相似
中重卡-非担保,客户阶段 =新增,替名贷款,发送工单给区域（核实情况，记录台帐，反馈区域，制定催收计划）（ACT111）-客服中心（ROLE003）,反馈区域（ACT014）,反馈区域（ACT014）-客服中心（ROLE003）,反馈/核实相似
中重卡-非担保,逾期天数 31-60 天,客户拒不还款（含：恶意逾期、车辆丢失、其他）,发送工单（委外上门）（ACT108）-客服中心（ROLE003）,委外（ACT023/ACT017/ACT018/ACT020/ACT034）,"梳理并发送委外清单至区域（ACT023）-客服中心（ROLE003）
质检合作机构催收落实情况（ACT034）-客服中心（ROLE003）
委外作业督导（ACT017）-区域（ROLE001）",委外相似
中重卡-非担保,逾期天数 31-60 天,客户拒不还款（含：恶意逾期、车辆丢失、其他） AND 委外上门无效,发送工单给区域（收车）（ACT110）-客服中心（ROLE003）,车辆处置（ACT035）,车辆处置（ACT035）-未配置角色（未配置角色代码）,收车/车辆处置相似
中重卡-非担保,逾期天数 > 60天,客户拒不还款（含：恶意逾期、车辆丢失、其他）,"发送工单（委外上门）（ACT108）-客服中心（ROLE003）
发送工单（诉讼）（ACT115）-客服中心（ROLE003）",委外（ACT023/ACT017/ACT018/ACT020/ACT034）,"梳理并发送委外清单至区域（ACT023）-客服中心（ROLE003）
质检合作机构催收落实情况（ACT034）-客服中心（ROLE003）
委外作业督导（ACT017）-区域（ROLE001）",委外相似
中重卡-非担保,逾期天数 > 60天,客户拒不还款（含：恶意逾期、车辆丢失、其他）,"发送工单（委外上门）（ACT108）-客服中心（ROLE003）
发送工单（诉讼）（ACT115）-客服中心（ROLE003）",诉讼（ACT024/ACT033）,梳理并发送诉讼清单至区域（ACT024）-客服中心（ROLE003）,诉讼相似
轻卡-燃油,客户阶段 =新增,疑似失联处理,发送工单给区域（协调经销商督促客户保存回访号码）（ACT105）-客服中心（ROLE003）,外呼（ACT001/ACT011/ACT012/ACT013）,"AI外呼（ACT001）-客服中心（ROLE003）
人工外呼（回访）（ACT012）-客服中心（ROLE003）
人工外呼（催收）（ACT011）-客服中心（ROLE003）",触达/外呼相似
轻卡-燃油,客户阶段 =新增,质疑号码来源,发送工单给区域（协调经销商告知客户回访计划）（ACT104）-客服中心（ROLE003）,外呼（ACT001/ACT011/ACT012/ACT013）,"AI外呼（ACT001）-客服中心（ROLE003）
人工外呼（回访）（ACT012）-客服中心（ROLE003）
人工外呼（催收）（ACT011）-客服中心（ROLE003）",触达/外呼相似
轻卡-燃油,客户阶段 =新增,客户拒不还款（含：恶意逾期、车辆丢失、其他）,发送工单给区域（核实情况，记录台帐，反馈区域，制定催收计划）（ACT111）-客服中心（ROLE003）,反馈区域（ACT014）,反馈区域（ACT014）-客服中心（ROLE003）,反馈/核实相似
轻卡-燃油,逾期天数 31-60 天,客户拒不还款（含：恶意逾期、车辆丢失、其他）,发送工单给区域（委外电催）（ACT109）-客服中心（ROLE003）,委外（ACT023/ACT017/ACT018/ACT020/ACT034）,"梳理并发送委外清单至区域（ACT023）-客服中心（ROLE003）
质检合作机构催收落实情况（ACT034）-客服中心（ROLE003）
委外作业督导（ACT017）-区域（ROLE001）",委外相似
轻卡-燃油,逾期天数 31-60 天,客户拒不还款（含：恶意逾期、车辆丢失、其他） AND 委外电催无效,发送工单给区域（收车）（ACT110）-客服中心（ROLE003）,车辆处置（ACT035）,车辆处置（ACT035）-未配置角色（未配置角色代码）,收车/车辆处置相似
轻卡-燃油,逾期天数 > 60天,客户拒不还款（含：恶意逾期、车辆丢失、其他）,"发送工单给区域（委外电催）（ACT109）-客服中心（ROLE003）
发送工单（诉讼）（ACT115）-客服中心（ROLE003）",委外（ACT023/ACT017/ACT018/ACT020/ACT034）,"梳理并发送委外清单至区域（ACT023）-客服中心（ROLE003）
质检合作机构催收落实情况（ACT034）-客服中心（ROLE003）
委外作业督导（ACT017）-区域（ROLE001）",委外相似
轻卡-燃油,逾期天数 > 60天,客户拒不还款（含：恶意逾期、车辆丢失、其他）,"发送工单给区域（委外电催）（ACT109）-客服中心（ROLE003）
发送工单（诉讼）（ACT115）-客服中心（ROLE003）",诉讼（ACT024/ACT033）,梳理并发送诉讼清单至区域（ACT024）-客服中心（ROLE003）,诉讼相似
轻卡-新能源,客户阶段 = 存量,疑似失联处理,发送工单给区域（协调经销商督促客户保存回访号码）（ACT105）-客服中心（ROLE003）,外呼（ACT001/ACT011/ACT012/ACT013）,"AI外呼（ACT001）-客服中心（ROLE003）
人工外呼（回访）（ACT012）-客服中心（ROLE003）
人工外呼（催收）（ACT011）-客服中心（ROLE003）",触达/外呼相似
轻卡-新能源,客户阶段 = 存量,质疑号码来源,发送工单给区域（协调经销商告知客户回访计划）（ACT104）-客服中心（ROLE003）,外呼（ACT001/ACT011/ACT012/ACT013）,"AI外呼（ACT001）-客服中心（ROLE003）
人工外呼（回访）（ACT012）-客服中心（ROLE003）
人工外呼（催收）（ACT011）-客服中心（ROLE003）",触达/外呼相似
轻卡-新能源,客户阶段 = 存量,客户拒不还款（含：恶意逾期、车辆丢失、其他）,发送工单给区域（收车）（ACT110）-客服中心（ROLE003）,车辆处置（ACT035）,车辆处置（ACT035）-未配置角色（未配置角色代码）,收车/车辆处置相似
轻卡-新能源,逾期天数 31-60 天,客户放弃运营车辆（车辆暂由客户控制）,"发送工单给区域（收车）（ACT110）-客服中心（ROLE003）
发送工单给区域（制定下步措施）（ACT103）-客服中心（ROLE003）",车辆处置（ACT035）,车辆处置（ACT035）-未配置角色（未配置角色代码）,收车/车辆处置相似
轻卡-新能源,逾期天数 > 60天,客户继续运营车辆但还款困难,"收集客户办理贷后业务（贷款重组、利息减免、消保基金）需求，发送工单给区域（ACT121）-客服中心（ROLE003）
发送工单（诉讼）（ACT115）-客服中心（ROLE003）",诉讼（ACT024/ACT033）,梳理并发送诉讼清单至区域（ACT024）-客服中心（ROLE003）,诉讼相似
轻卡-新能源,逾期天数 > 60天,车辆由经销商、二网、物流公司代运营还款,"发送工单给区域（核实情况，记录台帐，反馈区域，制定催收计划）（ACT111）-客服中心（ROLE003）
发送工单（诉讼）（ACT115）-客服中心（ROLE003）",诉讼（ACT024/ACT033）,梳理并发送诉讼清单至区域（ACT024）-客服中心（ROLE003）,诉讼相似
轻卡-新能源,逾期天数 > 60天,客户放弃运营车辆（车辆暂由客户控制）,"发送工单给区域（收车）（ACT110）-客服中心（ROLE003）
发送工单（诉讼）（ACT115）-客服中心（ROLE003）",车辆处置（ACT035）,车辆处置（ACT035）-未配置角色（未配置角色代码）,收车/车辆处置相似
轻卡-新能源,逾期天数 > 60天,客户放弃运营车辆（车辆暂由客户控制）,"发送工单给区域（收车）（ACT110）-客服中心（ROLE003）
发送工单（诉讼）（ACT115）-客服中心（ROLE003）",诉讼（ACT024/ACT033）,梳理并发送诉讼清单至区域（ACT024）-客服中心（ROLE003）,诉讼相似
